entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
driver,constrained_proportional,hamilton,Lewis Hamilton,7,9.370885035,,0.3263492301,,,,2.370885035
driver,constrained_proportional,max_verstappen,Max Verstappen,6.5,8.3914745,,0.3227490192,,,,1.8914745
driver,constrained_proportional,russell,George Russell,11.25,6.907654977,,0.293942765,,,,-4.342345023
driver,constrained_proportional,leclerc,Charles Leclerc,10.75,6.198668235,,0.2951746778,,,,-4.551331765
driver,constrained_proportional,norris,Lando Norris,10.25,5.895808039,,0.2969111962,,,,-4.354191961
driver,constrained_proportional,hadjar,Isack Hadjar,-0.25,4.97365539,,0.3284489408,,,,5.22365539
driver,constrained_proportional,piastri,Oscar Piastri,7.5,4.134968287,,0.3046818738,,,,-3.365031713
driver,constrained_proportional,gasly,Pierre Gasly,4.333333333,3.744419557,,0.3120349631,,,,-0.5889137761
driver,constrained_proportional,lawson,Liam Lawson,8.75,2.600055307,,0.3033397858,,,,-6.149944693
driver,constrained_proportional,arvid_lindblad,Arvid Lindblad,-2,2.705025687,,0.320935251,,,,4.705025687
driver,constrained_proportional,ocon,Esteban Ocon,6.75,2.41125796,,0.3068873767,,,,-4.33874204
driver,constrained_proportional,bortoleto,Gabriel Bortoleto,0.25,2.303973998,,0.3162317252,,,,2.053973998
driver,constrained_proportional,colapinto,Franco Colapinto,5.5,2.060084785,,0.3090127178,,,,-3.439915215
driver,constrained_proportional,sainz,Carlos Sainz,8,0.7090437585,,0.3102066443,,,,-7.290956242
driver,constrained_proportional,albon,Alexander Albon,7.75,0.6213305662,,0.3106652831,,,,-7.128669434
driver,constrained_proportional,alonso,Fernando Alonso,2.5,0.4468891872,,0.312822431,,,,-2.053110813
driver,constrained_proportional,bearman,Oliver Bearman,4,0.2680901195,,0.3127718061,,,,-3.731909881
driver,constrained_proportional,hulkenberg,Nico Hulkenberg,-2.75,0,,0.313101272,,,,2.75
driver,constrained_proportional,perez,Sergio Perez,3.75,0,,0.3175535935,,,,-3.75
driver,constrained_proportional,bottas,Valtteri Bottas,0.25,0,,0.322807292,,,,-0.25
