period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number
2025,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,6.03645034229,0.757344503959,1.77442255088,0.111606052264,2.55858214257,9.51431854201,0.538596641521,0.976092366397,"[2.55858, 9.51432]","[0.538597, 0.976092]",0.280698653398,0.274602879274,12.4772690368,15.4533119485,-9.7699626167e-16,120,6,0,0,19.8591512613
2025,driver,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,5.89760616487,0.762245687289,1.80116164832,0.11400235035,2.36732933417,9.42788299557,0.538801080603,0.985690293976,"[2.36733, 9.42788]","[0.538801, 0.98569]",0.274763934769,0.26861786642,12.5832925066,15.5169310879,-1.62832710278e-15,120,6,0,0,19.9514028936
2025,driver,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,3.96559328556,0.87492117913,2.17377893577,0.150418993583,-0.295013428552,8.22619999968,0.580099951706,1.16974240655,"[-0.295013, 8.2262]","[0.5801, 1.16974]",0.222827153778,0.216240943217,13.1337538698,16.0629365573,-1.06581410364e-15,120,6,0,0,21.2991562089
2025,driver,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,2.2616984048,1.02758921985,2.08438399948,0.144374677063,-1.82369423418,6.34709104378,0.744614852807,1.3105635869,"[-1.82369, 6.34709]","[0.744615, 1.31056]",0.300363655995,0.294434534436,12.2083355314,15.2406088039,-8.17124146124e-15,120,6,0,20,21.5052091523
2025,driver,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,1.49683946786,1.12801405599,2.06891898994,0.148588905588,-2.55824175242,5.55192068813,0.836779801036,1.41924831094,"[-2.55824, 5.55192]","[0.83678, 1.41925]",0.328136882756,0.322443127525,12.1246539437,14.9350449905,-1.05101112998e-14,120,6,0,0,21.0129459336
2025,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,9.40865140765,0.934211951521,4.91722734995,0.134985015069,-0.229114198253,19.0464170136,0.669641321986,1.19878258106,"[-0.229114, 19.0464]","[0.669641, 1.19878]",0.452304494176,0.442861468214,18.1314700807,24.2386009127,1.18423789293e-14,60,6,0,0,56.3056081678
2025,constructor,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,7.75805563126,0.982337628657,4.90311982612,0.134977927787,-1.85205922794,17.3681704905,0.717780890194,1.24689436712,"[-1.85206, 17.3682]","[0.717781, 1.24689]",0.477316727983,0.468304947431,17.733279134,23.6786675492,4.97379915032e-15,60,6,0,0,57.3107105525
2025,constructor,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,5.9607081961,1.03459037654,5.6979691477,0.163356196492,-5.2073113334,17.1287277256,0.714412231415,1.35476852166,"[-5.20731, 17.1287]","[0.714412, 1.35477]",0.408834051015,0.398641534653,19.408059964,25.1821417876,9.47390314347e-15,60,6,0,0,60.1398936048
2025,constructor,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,7.3337783961,0.985369209185,5.22649115762,0.145078471953,-2.91014427283,17.577701065,0.701015404158,1.26972301421,"[-2.91014, 17.5777]","[0.701015, 1.26972]",0.443008809203,0.43340551281,18.4257478164,24.4434285904,5.80276567537e-15,60,6,0,10,58.6918487398
2025,constructor,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,1.79146922411,1.11243748428,5.73719075811,0.158651545004,-9.45342466179,13.03636311,0.801480456076,1.42339451249,"[-9.45342, 13.0364]","[0.80148, 1.42339]",0.458782277398,0.449450937353,17.9083659921,24.0948354203,9.88838640599e-15,60,6,0,0,65.6108115273
