entity_type,entity_id,entity_name,normal_ev,normal_weekend_only_mean,median_normalised_score,recency_weighted_normal_ev,current_price,form_percentile,price_percentile,strength_definition,strength,form_price_correlation,form_price_percentile_correlation,form_price_vif
driver,hulkenberg,Nico Hulkenberg,-1.909090909,-0.5714285714,3,0.1337170976,3,0.1818181818,0.09090909091,blend_form_1.00_price_0.00,0.1818181818,,,
driver,lawson,Liam Lawson,8.454545455,8.571428571,10,9.187979335,10.3,0.5227272727,0.5,blend_form_1.00_price_0.00,0.5227272727,,,
driver,leclerc,Charles Leclerc,24.2,21,29.5,26.4863202,23.9,0.9090909091,0.7272727273,blend_form_1.00_price_0.00,0.9090909091,,,
driver,max_verstappen,Max Verstappen,22.27272727,26,24,23.35335922,27.6,0.8181818182,0.9545454545,blend_form_1.00_price_0.00,0.8181818182,,,
driver,norris,Lando Norris,16.90909091,19.85714286,23,23.17518415,26.1,0.7727272727,0.9090909091,blend_form_1.00_price_0.00,0.7727272727,,,
driver,ocon,Esteban Ocon,8.454545455,7.857142857,8,7.605691747,10.7,0.5227272727,0.5454545455,blend_form_1.00_price_0.00,0.5227272727,,,
driver,perez,Sergio Perez,-0.9090909091,-4.285714286,4,-6.230682692,3.8,0.2272727273,0.1818181818,blend_form_1.00_price_0.00,0.2272727273,,,
driver,piastri,Oscar Piastri,11.81818182,13.57142857,16,10.53646474,24.4,0.6818181818,0.7727272727,blend_form_1.00_price_0.00,0.6818181818,,,
driver,russell,George Russell,23.1,23.5,29,19.26278388,27.9,0.8636363636,1,blend_form_1.00_price_0.00,0.8636363636,,,
driver,sainz,Carlos Sainz,5.222222222,2.285714286,9,3.315468358,10,0.3636363636,0.4545454545,blend_form_1.00_price_0.00,0.3636363636,,,
driver,stroll,Lance Stroll,-9.181818182,-14.42857143,-17,-5.55656781,3,0.04545454545,0.09090909091,blend_form_1.00_price_0.00,0.04545454545,,,
constructor,alpine,Alpine,26.45454545,23.57142857,25,25.20935228,18.8,0.5454545455,0.6363636364,blend_form_0.75_price_0.25,0.5681818182,,,
constructor,aston_martin,Aston Martin,-8.090909091,-11.14285714,-11,0.3796446645,5.7,0.09090909091,0.1818181818,blend_form_0.75_price_0.25,0.1136363636,,,
constructor,audi,Audi,12.6,18.16666667,13,16.30925294,6.8,0.3636363636,0.2727272727,blend_form_0.75_price_0.25,0.3409090909,,,
constructor,cadillac,Cadillac,-6.727272727,-17,-9,-13.9195565,3,0.1818181818,0.09090909091,blend_form_0.75_price_0.25,0.1590909091,,,
constructor,ferrari,Ferrari,63.18181818,61.28571429,69,64.75198211,26.6,0.9090909091,0.7272727273,blend_form_0.75_price_0.25,0.8636363636,,,
constructor,haas,Haas F1 Team,15.72727273,10.85714286,14,13.52800277,12,0.4545454545,0.3636363636,blend_form_0.75_price_0.25,0.4318181818,,,
