season,round,event_name,event_date,weekend_format,driver_rows,driver_active_asset_count,driver_total_points,driver_mean_points_per_asset,driver_median_points_per_asset,driver_min_points,driver_max_points,driver_negative_score_count,driver_zero_score_count,constructor_rows,constructor_active_asset_count,constructor_total_points,constructor_mean_points_per_asset,constructor_median_points_per_asset,constructor_min_points,constructor_max_points,constructor_negative_score_count,constructor_zero_score_count,driver_event_mean_zscore,driver_extreme_event,constructor_event_mean_zscore,constructor_extreme_event
2025,22,Las Vegas Grand Prix,2025-11-23,normal,20,20,148,7.4,9,-20,56,7,1,10,10,226,22.6,16.5,-34,85,3,0,-1.5152956592,False,-1.39746657556,False
2025,23,Qatar Grand Prix,2025-11-30,sprint,20,20,250,12.5,10.5,-18,55,2,0,10,10,337,33.7,22,-5,96,1,0,0.250889843229,False,0.480040988076,False
2025,24,Abu Dhabi Grand Prix,2025-12-07,normal,20,20,301,15.05,13.5,-2,46,1,1,10,10,402,40.2,37.5,4,83,0,0,1.13398259444,False,1.57948235417,False
2026,1,Australian Grand Prix,2026-03-08,normal,22,22,201,9.13636363636,9,-23,50,6,0,10,10,286,28.6,28,-38,96,2,0,-0.91397403538,False,-0.382597622244,False
2026,2,Chinese Grand Prix,2026-03-15,sprint,22,22,382,17.3636363636,18.5,-14,68,6,0,11,11,452,41.0909090909,45,-20,119,3,0,1.93522004608,False,1.73017501693,False
2026,3,Japanese Grand Prix,2026-03-29,normal,22,22,245,11.1363636364,7,-17,50,3,0,11,11,328,29.8181818182,23,-12,92,2,0,-0.221352269721,False,-0.176548471116,False
2026,4,Miami Grand Prix,2026-05-03,sprint,22,22,348,15.8181818182,18,-29,54,5,0,11,11,421,38.2727272727,31,-27,110,1,0,1.40001231807,False,1.25349414492,False
2026,5,Canadian Grand Prix,2026-05-24,sprint,22,22,246,11.1818181818,10.5,-26,62,4,0,11,11,314,28.5454545455,22,-14,76,1,0,-0.205610865956,False,-0.391823703637,False
2026,6,Monaco Grand Prix,2026-06-07,normal,20,20,122,6.1,8.5,-20,55,7,0,11,11,202,18.3636363636,18,-13,70,3,0,-1.96549980688,False,-2.11402556381,True
2026,7,Barcelona Grand Prix,2026-06-14,normal,21,21,166,7.90476190476,9,-20,56,6,0,11,11,254,23.0909090909,26,-36,67,2,0,-1.34049111835,False,-1.31443184302,False
2026,8,Austrian Grand Prix,2026-06-28,normal,22,22,188,8.54545454545,7,-17,43,4,0,11,11,293,26.6363636364,21,-35,85,3,0,-1.11861228432,False,-0.71473655242,False
2026,9,British Grand Prix,2026-07-05,sprint,22,22,384,17.4545454545,18.5,-13,54,3,0,10,10,475,47.5,43,13,92,0,0,1.96670285361,False,2.8142395807,True
2026,10,Belgian Grand Prix,2026-07-19,normal,22,22,244,11.0909090909,8,-19,40,3,0,11,11,320,29.0909090909,19,-17,79,2,0,-0.237093673486,False,-0.2995628897,False
2026,11,Hungarian Grand Prix,2026-07-26,normal,22,22,234,10.6363636364,9.5,-20,39,3,0,11,11,351,31.9090909091,36,-37,71,1,0,-0.394507711136,False,0.177117982313,False
